#,Name,Capacity,Arrival time min,Arrival time max,Service time,Address,New Arrival time min,New Arrival time max
8,Delivery #234888 to CASTLE COVE BUTCHER SHOP(CASTLE COVE BUTCHER SHOP) ref #143453,41,8:58,8:58,5,"14A Deepwater Rd, Castle Cove NSW 2069, Australia",9:05,9:05
9,Delivery #227688 to CASTLE COVE BUTCHER SHOP(CASTLE COVE BUTCHER SHOP) ref #143453,41,9:03,9:03,0,"14A Deepwater Rd, Castle Cove NSW 2069, Australia",9:05,9:05
10,Delivery #234910 to 1 TON NOODLE(1 TON NOODLE) ref #143600,34,9:10,9:10,5,"p1/436 Victoria Ave, Chatswood NSW 2067, Australia",9:18,9:18
11,Delivery #234895 to SPRINGBOK DELIGHTS PTY LTD(SPRINGBOK DELIGHTS PTY LTD) ref #143481,44,9:22,9:22,5,"656 Mowbray Rd W, Lane Cove North NSW 2066, Australia",9:33,9:33
12,Delivery #227695 to SPRINGBOK DELIGHTS PTY LTD(SPRINGBOK DELIGHTS PTY LTD) ref #143481,44,9:27,9:27,0,"656 Mowbray Rd W, Lane Cove North NSW 2066, Australia",9:33,9:33
13,Delivery #234891 to GOWA FOODS(GOWA FOODS) ref #143597,247,9:33,9:33,5,"25 Hotham Parade, Artarmon NSW 2064, Australia",9:45,9:45
14,Delivery #227691 to GOWA FOODS(GOWA FOODS) ref #143597,247,9:38,9:38,0,"25 Hotham Parade, Artarmon NSW 2064, Australia",9:45,9:45
15,Delivery #234997 to THAI KANTEEN(THAI KANTEEN),45,9:47,9:47,5,"541 Military Rd, Mosman NSW 2088, Australia",10:03,10:03
16,Delivery #234935 to SEALANES NSW(SEALANES NSW),11,10:12,10:12,5,"1511 Botany Rd, Banksmeadow NSW 2019, Australia",10:30,10:30
17,"Hillsdale NSW 2036, Australia",,10:22,10:22,0,"Hillsdale NSW 2036, Australia",10:42,10:42
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234979 to PENNANT HILLS GOLF CLUB(PENNANT HILLS GOLF CLUB),21,7:24,7:24,5,"Copeland Rd, Beecroft NSW 2119, Australia",7:30,7:30
3,Delivery #234909 to TENDER VALUE MEATS HORNSBY(TENDER VALUE MEATS HORNSBY) ref #143449,32,7:41,7:41,5,"12 Florence St, Hornsby NSW 2077, Australia",7:51,7:51
4,Delivery #234920 to TUMBI WHOLESALE MEATS(TUMBI WHOLESALE MEATS) ref #143570,56,8:44,8:44,5,"2/11 Tumbi Creek Rd, Berkeley Vale NSW 2261, Australia",8:50,8:50
5,Delivery #234912 to CRESTHAVEN MEATS(CRESTHAVEN MEATS) ref #143550,36,8:56,8:56,5,"161 Cresthaven Ave, Bateau Bay NSW 2261, Australia",9:01,9:01
6,Delivery #234922 to WATOS FAMILY BUTCHERY(WATOS FAMILY BUTCHERY) ref #143535,55,9:08,9:08,5,"471 The Entrance Rd, Long Jetty NSW 2261, Australia",9:11,9:11
7,Delivery #234914 to MADHOUSE BEEF JERKY PTY LTD(MADHOUSE BEEF JERKY PTY LTD) ref #143513,244,9:29,9:29,5,"1 Geraldton Cl, Norah Head NSW 2263, Australia",9:30,9:30
8,Delivery #234956 to COAST HOTEL(COAST HOTEL),13,9:40,9:40,5,"Budgewoi Inn, 169 Budgewoi Rd, Budgewoi NSW 2262, Australia",9:41,9:41
9,Delivery #227523 to COAST HOTEL(COAST HOTEL),0,9:45,9:45,0,"Budgewoi Inn, 169 Budgewoi Rd, Budgewoi NSW 2262, Australia",9:41,9:41
10,Delivery #234918 to STOCKADE MEATS(STOCKADE MEATS) ref #143526,112,9:47,9:47,5,"75 Scenic Dr, Budgewoi NSW 2262, Australia",9:48,9:48
11,Delivery #234913 to GQM -GWANDALAN QUALITY MEATS(GQM -GWANDALAN QUALITY MEATS) ref #143541,122,10:10,10:10,5,"67 Gamban Rd, Gwandalan NSW 2259, Australia",10:12,10:12
12,Delivery #234915 to MOORES MEAT MARKET(MOORES MEAT MARKET) ref #143503,190,10:43,10:43,5,"81 Dora St, Morisset NSW 2264, Australia",10:44,10:44
13,Delivery #234955 to PLATEAU FOOD WYONG(PLATEAU FOOD WYONG),6,11:11,11:11,5,"4 London Dr, Wyong NSW 2259, Australia",11:11,11:11
14,Delivery #234917 to SAUSAGE MAN WYONG(SAUSAGE MAN WYONG) ref #143536,206,11:23,11:23,5,"18/34 Alison Rd, Wyong NSW 2259, Australia",11:23,11:23
